Image,level
w_7812,222
w_4598,44
w_3828,203
w_8734,329
w_3251,445
w_8063,266
w_5624,391
w_825,143
w_3974,396
w_3049,344
w_6660,332
w_3909,21
w_2632,276
w_7754,301
w_1681,351
w_4130,339
w_1194,31
w_5390,105
w_8923,21
w_8790,208
w_4522,51
w_6695,6
w_1052,112
w_7212,159
w_735,407
w_3805,289
w_707,239
w_9271,279
w_7097,362
w_3779,360
w_5312,49
w_6038,315
w_5859,51
w_6731,30
w_4144,160
w_4817,285
w_2319,99
w_446,307
w_8673,135
w_5770,396
w_133,280
w_3003,249
w_5033,218
w_6015,40
w_6511,383
w_2935,365
w_4664,446
w_5938,213
w_8430,259
w_9105,104
w_6365,219
w_2577,2
w_8281,360
w_3392,34
w_9358,222
w_8357,32
w_2883,346
w_1087,107
w_9328,132
w_4469,305
w_3983,229
w_4441,217
w_7702,228
w_1325,183
w_7416,170
w_4213,232
w_869,366
w_9376,48
w_5075,372
w_1057,158
w_4261,382
w_4974,102
w_2469,439
w_3807,390
w_1264,222
w_6066,265
w_6052,372
w_5811,170
w_3444,333
w_8582,343
w_8962,325
w_6326,0
w_2989,198
w_5587,355
w_7405,143
w_527,244
w_2302,240
w_3403,344
w_7462,433
w_3777,346
w_4895,426
w_6563,423
w_6882,277
w_4706,316
w_2578,129
w_9406,75
w_4071,18
w_2212,377
w_8153,31
w_3648,257
w_5084,321
w_1654,442
w_6801,59
w_6612,299
w_5032,121
w_1115,413
w_7935,106
w_2185,23
w_6303,376
w_4961,165
w_4435,394
w_112,184
w_7622,69
w_6262,241
w_8756,54
w_4277,369
w_1683,413
w_1477,269
w_4236,80
w_2078,165
w_353,127
w_3326,87
w_4561,149
w_8024,272
w_7828,429
w_1766,327
w_1992,307
w_4436,101
w_7392,366
w_3237,49
w_354,149
w_2133,391
w_8556,393
w_7218,321
w_8157,168
w_8666,182
w_3159,117
w_6141,49
w_5262,169
w_1953,391
w_4488,254
w_3144,160
w_3875,312
w_2462,198
w_3239,415
w_142,156
w_3770,188
w_3415,357
w_5177,355
w_7852,210
w_3131,157
w_1617,7
w_9126,84
w_6867,212
w_8868,166
w_2322,381
w_3007,245
w_6357,232
w_4134,357
w_3935,176
w_9197,248
w_4927,200
w_3527,280
w_7093,322
w_6276,271
w_3776,31
w_8299,346
w_1856,80
w_6828,223
w_8918,213
w_4515,286
w_9464,252
w_2254,102
w_6707,441
w_6054,118
w_710,279
w_3627,418
w_1063,184
w_3969,283
w_3339,81
w_3420,365
w_6665,112
w_4240,323
w_6110,105
w_9084,226
w_6620,310
w_5557,132
w_9465,407
w_7070,89
